City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,askoy,60.4092,5.226,3.2,65,20,8.23,NO,1707074191
232,port-vila,-17.7338,168.3219,24.78,100,40,0.51,VU,1707074192
233,wangkui,46.8333,126.5,-29.19,100,50,1.74,CN,1707074192
234,weno,7.4515,151.8468,26.97,94,100,4.12,FM,1707074130
235,phu ly,20.5411,105.9139,22.31,91,100,2.89,VN,1707074192
236,kirsanov,52.6549,42.7224,-0.42,87,98,6.71,RU,1707074192
237,champerico,14.3,-91.9167,33.3,63,12,8.49,GT,1707074192
238,sao joao da barra,-21.6403,-41.0511,30.05,81,100,4.78,BR,1707074193
239,college,64.8569,-147.8028,-26.97,71,75,0.0,US,1707074193
240,mossel bay,-34.1831,22.146,19.96,88,0,2.21,ZA,1707074193
241,carnarvon,-24.8667,113.6333,22.64,63,0,11.4,AU,1707074193
242,reyes,-14.3167,-67.3833,35.09,52,20,2.57,BO,1707074193
243,bamor kalan,24.9,78.15,16.92,79,79,3.73,IN,1707074193
244,paita,-5.0892,-81.1144,26.68,71,94,6.11,PE,1707074193
245,fort mcmurray,56.7268,-111.381,-8.23,79,0,2.06,CA,1707074137
246,cabo san lucas,22.8909,-109.9124,26.45,56,0,5.14,MX,1707073923
247,klodawa,52.2545,18.9135,6.39,74,100,10.82,PL,1707074194
248,sola,-13.8833,167.55,27.93,82,97,8.63,VU,1707074194
249,yamada,39.4667,141.95,-0.66,63,20,2.09,JP,1707074194
250,remire-montjoly,4.9167,-52.2667,31.02,70,40,6.69,GF,1707074194
251,mount gambier,-37.8333,140.7667,15.06,71,98,4.14,AU,1707074102
252,talcahuano,-36.7167,-73.1167,18.82,63,0,8.75,CL,1707074195
253,veinticinco de mayo,-35.4323,-60.1727,33.7,9,89,3.19,AR,1707074146
254,klyuchi,52.2667,79.1667,-4.42,89,100,5.39,RU,1707074195
255,natal,-5.795,-35.2094,30.36,74,40,5.66,BR,1707074062
256,bukama,-9.2,25.85,22.66,93,100,0.29,CD,1707074195
257,vico del gargano,41.8983,15.9576,7.7,70,0,1.27,IT,1707074195
258,san patricio,28.017,-97.5169,24.05,35,0,11.18,US,1707074196
259,mancio lima,-7.6142,-72.8958,31.04,66,40,2.57,BR,1707074196
260,chita,52.0333,113.55,-23.06,71,98,2.0,RU,1707074196
261,mejit,10.2753,170.8646,26.24,77,53,8.49,MH,1707074196
262,fonte boa,-2.4959,-66.2662,28.22,73,100,1.94,BR,1707074196
263,usol'ye,59.4268,56.6808,-16.7,91,100,3.16,RU,1707074196
264,egilsstadir,65.2653,-14.3948,-7.05,79,75,1.54,IS,1707074186
265,tamazulapam villa del progreso,17.6806,-97.5689,23.67,14,5,3.23,MX,1707074197
266,arraial do cabo,-22.9661,-42.0278,27.98,78,75,6.17,BR,1707074197
267,bagua grande,-5.7561,-78.4411,33.6,49,88,1.77,PE,1707074197
268,palmer,42.1584,-72.3287,6.7,38,0,3.13,US,1707074197
269,metro,-5.1131,105.3067,24.18,95,100,0.66,ID,1707074197
270,ballina,-28.8667,153.5667,22.66,73,88,3.94,AU,1707074197
271,rabaul,-4.1967,152.1721,26.99,82,100,2.48,PG,1707074198
272,kapa'a,22.0752,-159.319,23.18,66,40,10.8,US,1707074198
273,fort bragg,35.139,-79.006,13.44,40,0,5.66,US,1707074198
274,balykshi,47.0667,51.8667,2.0,87,75,11.0,KZ,1707074198
275,port saint john's,-31.6229,29.5448,24.46,89,100,5.07,ZA,1707074198
276,lasem,-6.6922,111.4527,24.24,96,100,2.77,ID,1707074199
277,saynshand,44.8824,110.1163,-14.93,96,100,2.58,MN,1707074199
278,smithers,54.7804,-127.1743,-9.82,85,0,2.57,CA,1707074121
279,papao,-17.75,-149.55,27.82,83,100,6.11,PF,1707074199
280,zayed city,24.3768,54.589,21.67,54,0,3.09,AE,1707074199
281,butner,36.1321,-78.7567,13.49,43,13,3.12,US,1707074199
282,okhotsk,59.3833,143.3,-23.16,79,15,6.58,RU,1707074199
283,adrar,20.5022,-10.0711,20.98,9,55,5.25,MR,1707074199
284,pitimbu,-7.4706,-34.8086,31.33,65,1,5.64,BR,1707074200
285,hanting,36.7708,119.2108,-3.55,90,100,5.55,CN,1707074200
286,phalodi,27.1333,72.3667,16.53,60,0,2.78,IN,1707074200
287,sarmiento,-45.5882,-69.07,31.88,15,20,10.48,AR,1707074200
288,la passe,45.5549,-0.8967,8.13,88,91,2.52,FR,1707074147
289,wellawaya,6.7318,81.1018,22.74,91,99,2.78,LK,1707074200
290,undurkhaan,47.3194,110.6556,-19.53,92,100,0.48,MN,1707074201
291,calipatria,33.1256,-115.5142,19.36,51,0,4.47,US,1707074201
292,saint-jean-de-monts,46.7833,-2.0667,9.21,83,69,1.82,FR,1707074201
293,nouadhibou,20.931,-17.0347,21.69,46,19,3.52,MR,1707074201
294,kristiansund,63.1115,7.732,0.36,93,75,2.57,NO,1707074201
295,mahibadhoo,3.7833,72.9667,27.97,76,86,8.22,MV,1707074201
296,murud,18.3258,72.965,24.04,64,0,1.83,IN,1707074202
297,sarangani,5.4033,125.4636,27.18,78,11,9.64,PH,1707073990
298,hammerfest,70.6634,23.6821,-3.75,80,75,2.57,NO,1707074202
299,tacuarembo,-31.7333,-55.9833,35.31,34,26,2.08,UY,1707074202
300,mabaruma,8.2,-59.7833,31.25,53,100,2.63,GY,1707074202
301,fargo,46.8772,-96.7898,1.99,80,100,0.0,US,1707073891
302,pembroke,45.8168,-77.1162,-1.01,80,100,1.31,CA,1707074203
303,novodvinsk,64.4165,40.8122,-8.14,93,100,4.1,RU,1707074167
304,palikir - national government center,6.9248,158.1611,26.41,83,100,4.63,FM,1707074203
305,vorgashor,67.5833,63.95,-16.84,91,100,1.11,RU,1707074203
306,constantia,44.1833,28.65,8.38,80,100,5.27,RO,1707074090
307,melfort,52.8667,-104.6177,-2.93,93,100,4.63,CA,1707074203
308,mwanza,-2.5167,32.9,23.63,71,100,2.11,TZ,1707074203
309,nova xavantina,-14.6667,-52.35,24.92,81,99,2.25,BR,1707074204
310,kalaswala,32.2009,74.6491,9.46,93,0,1.84,PK,1707074204
311,luza,60.6308,47.2512,-12.23,95,100,3.98,RU,1707074204
312,banff,51.1762,-115.5698,-3.79,86,100,1.54,CA,1707074204
313,demidov,55.2706,31.515,-3.38,91,92,2.94,RU,1707074204
314,yangambi,0.8102,24.4336,26.04,40,37,0.67,CD,1707074204
315,vilyuysk,63.7553,121.6247,-37.22,100,40,0.89,RU,1707074205
316,megion,61.0296,76.1136,-16.99,96,100,4.68,RU,1707074205
317,ibipeba,-11.6408,-42.0111,31.33,35,13,4.76,BR,1707074205
318,at taj,24.2049,23.2857,11.37,42,0,3.61,LY,1707074205
319,alpena,45.0617,-83.4327,6.51,81,0,2.06,US,1707074205
320,jiangyou,31.7667,104.7167,4.86,83,100,1.46,CN,1707074205
321,koulamoutou,-1.1303,12.4736,24.16,90,100,1.29,GA,1707074206
322,tshabong,-26.05,22.45,30.83,24,1,2.48,BW,1707074206
323,kosice,48.6667,21.3333,8.41,77,0,1.54,SK,1707074206
324,isabela,6.7085,121.9711,25.51,84,0,1.67,PH,1707074206
325,fale old settlement,-9.3852,-171.2468,29.14,77,100,11.33,TK,1707074206
326,caldwell,43.6629,-116.6874,7.81,82,75,4.63,US,1707074206
327,minas de marcona,-15.2119,-75.1103,23.63,66,64,4.64,PE,1707074206
328,jatoi shimali,29.5165,70.8503,13.17,60,1,3.93,PK,1707074207
329,namie,37.4833,141.0,4.29,72,99,4.57,JP,1707074207
330,crane,31.3974,-102.3501,15.57,17,0,11.78,US,1707073780
